Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-08-19,John Wick,2014,https://boxd.it/4IJ6rZ,3,,,2023-04-01
2023-08-19,John Wick: Chapter 2,2017,https://boxd.it/4IJ6B1,3,,,2023-04-01
2023-08-11,No Hard Feelings,2023,https://boxd.it/4FXiU1,3,,,2023-08-11
2023-08-13,Por Thozhil,2023,https://boxd.it/4GAwJp,3.5,,,2023-08-13
2023-11-08,MAD,2023,https://boxd.it/587eyn,2.5,Yes,,2023-11-08
2023-12-06,Killers of the Flower Moon,2023,https://boxd.it/5h5fpN,3.5,,,2023-12-05
2024-01-19,Sleepless in Seattle,1993,https://boxd.it/5CVui1,4.5,Yes,,2024-01-19
2024-01-24,Samajavaragamana,2023,https://boxd.it/5FmRyD,3,Yes,,2024-01-23
2024-01-24,Samajavaragamana,2023,https://boxd.it/5FmRZz,3,,,2024-01-23
2024-01-24,Samajavaragamana,2023,https://boxd.it/5FmSan,3,Yes,,2024-01-23
2024-02-11,Chhichhore,2019,https://boxd.it/5Oebst,4,,,2024-02-11
2024-05-27,Furiosa: A Mad Max Saga,2024,https://boxd.it/6y8S4h,4,,,2024-05-26
2024-08-04,Jungle,2017,https://boxd.it/71m2oN,3.5,,,2024-08-03
2024-11-01,Lucky Baskhar,2024,https://boxd.it/7GV2r7,4,,,2024-10-31
